Data tragerii,N.1,N.2,N.3,N.4,N.5,J
22-05-11,4,28,41,15,39,18
26-05-11,9,22,2,44,45,16
29-05-11,31,24,36,6,14,3
02-06-11,5,17,20,15,21,5
05-06-11,10,44,4,33,24,19
09-06-11,45,28,16,15,2,9
12-06-11,7,6,3,4,36,5
16-06-11,23,3,41,44,7,7
19-06-11,31,40,9,16,8,5
23-06-11,30,20,41,9,2,4
26-06-11,17,10,9,22,4,3
30-06-11,27,5,44,12,6,16
03-07-11,43,11,8,2,32,6
07-07-11,29,4,45,25,36,17
10-07-11,8,23,33,27,39,4
14-07-11,9,14,35,34,32,16
17-07-11,13,16,37,28,25,6
21-07-11,31,18,45,3,23,3
24-07-11,13,28,37,42,33,9
28-07-11,44,31,28,34,16,12
31-07-11,41,33,13,9,34,11
04-08-11,12,4,25,30,8,7
07-08-11,42,2,19,18,15,3
11-08-11,3,12,21,32,16,10
14-08-11,25,31,6,33,39,20
18-08-11,6,7,29,30,27,11
21-08-11,34,39,27,44,17,2
25-08-11,11,21,23,16,42,13
28-08-11,28,19,16,4,41,19
01-09-11,7,3,12,25,13,12
04-09-11,29,36,44,32,33,8
08-09-11,27,13,39,17,33,14
11-09-11,8,26,27,32,7,14
15-09-11,7,39,16,40,23,6
18-09-11,25,30,18,19,8,16
22-09-11,13,4,31,43,2,2
25-09-11,36,31,1,13,32,12
29-09-11,23,38,24,1,32,20
02-10-11,12,43,11,18,27,10
06-10-11,5,12,14,4,1,20
09-10-11,36,6,23,41,18,12
13-10-11,16,29,24,26,8,3
16-10-11,39,37,1,36,15,9
20-10-11,4,3,31,23,20,10
23-10-11,41,33,25,42,21,16
27-10-11,41,8,23,25,33,3
30-10-11,16,37,3,29,9,9
03-11-11,5,27,36,41,40,8
06-11-11,3,40,18,21,30,20
10-11-11,31,5,34,8,23,9
13-11-11,7,1,35,25,18,5
17-11-11,35,42,24,17,28,7
20-11-11,15,8,33,7,4,15
24-11-11,11,6,37,16,30,20
27-11-11,8,3,4,7,14,12
01-12-11,13,24,20,32,31,5
04-12-11,40,4,13,1,29,20
08-12-11,1,36,18,33,32,1
11-12-11,37,3,6,21,2,14
15-12-11,3,44,20,27,14,10
18-12-11,17,31,29,18,6,7
22-12-11,44,22,31,19,13,10
30-12-11,11,41,38,22,19,11
30-12-11,22,38,29,40,9,13
05-01-12,12,8,40,28,26,17
08-01-12,23,26,34,31,4,6
12-01-12,34,33,26,27,16,4
15-01-12,42,43,11,45,17,13
19-01-12,16,22,7,21,40,13
22-01-12,24,10,18,12,16,13
26-01-12,22,28,32,2,40,6
29-01-12,37,20,4,26,7,7
02-02-12,23,6,29,4,22,11
05-02-12,8,30,9,26,17,13
09-02-12,23,39,11,1,22,19
12-02-12,35,37,7,39,12,8
16-02-12,26,45,11,36,25,9
19-02-12,28,37,34,33,6,14
23-02-12,11,3,30,36,19,2
26-02-12,31,40,30,13,5,7
01-03-12,8,39,3,43,42,2
04-03-12,35,5,29,28,19,2
08-03-12,14,40,25,20,9,20
11-03-12,16,44,32,23,34,18
15-03-12,36,5,31,38,17,7
18-03-12,36,26,27,30,5,17
22-03-12,34,45,25,26,15,1
25-03-12,33,14,17,26,11,1
29-03-12,27,8,34,31,4,19
